type,category,base_price,weight,condition,age,final_price
mobile,gadget,15,0.2,working,1,13
mobile,gadget,15,0.2,working,2,12
mobile,gadget,15,0.2,damaged,2,7

laptop,gadget,250,2.5,working,1,230
laptop,gadget,250,2.5,working,3,180
laptop,gadget,250,2.5,damaged,3,110

tablet,gadget,250,1.0,working,1,220
tablet,gadget,250,1.0,working,3,180
tablet,gadget,250,1.0,damaged,3,120

smartwatch,gadget,10,0.1,working,1,9
smartwatch,gadget,10,0.1,working,3,7
smartwatch,gadget,10,0.1,damaged,3,4

microwave,appliance,150,3,working,1,140
microwave,appliance,150,3,working,3,110
microwave,appliance,150,3,damaged,3,70

mixer,appliance,50,1.5,working,1,45
mixer,appliance,50,1.5,working,3,35
mixer,appliance,50,1.5,damaged,3,20

kettle,appliance,15,1.0,working,1,13
kettle,appliance,15,1.0,working,3,10
kettle,appliance,15,1.0,damaged,3,6

iron,appliance,15,1.2,working,1,13
iron,appliance,15,1.2,working,3,10
iron,appliance,15,1.2,damaged,3,6

fan,appliance,50,2.0,working,1,45
fan,appliance,50,2.0,working,3,35
fan,appliance,50,2.0,damaged,3,20

refrigerator,appliance,500,20,working,1,480
refrigerator,appliance,500,20,working,3,400
refrigerator,appliance,500,20,damaged,3,300

washing_machine,appliance,250,15,working,1,230
washing_machine,appliance,250,15,working,3,180
washing_machine,appliance,250,15,damaged,3,120

ac,appliance,1000,30,working,1,950
ac,appliance,1000,30,working,3,800
ac,appliance,1000,30,damaged,3,600

led_tv,display,100,5,working,1,95
led_tv,display,100,5,working,3,75
led_tv,display,100,5,damaged,3,50

crt_tv,display,50,6,working,1,45
crt_tv,display,50,6,working,3,35
crt_tv,display,50,6,damaged,3,20

monitor,display,25,4,working,1,23
monitor,display,25,4,working,3,18
monitor,display,25,4,damaged,3,12

printer,peripheral,50,5,working,1,45
printer,peripheral,50,5,working,3,35
printer,peripheral,50,5,damaged,3,20

scanner,peripheral,25,4,working,1,23
scanner,peripheral,25,4,working,3,18
scanner,peripheral,25,4,damaged,3,12

cpu,peripheral,250,6,working,1,230
cpu,peripheral,250,6,working,3,180
cpu,peripheral,250,6,damaged,3,120

ups,peripheral,150,7,working,1,140
ups,peripheral,150,7,working,3,110
ups,peripheral,150,7,damaged,3,80

cables,scrap,50,1.0,working,1,45
cables,scrap,50,1.0,working,3,40
cables,scrap,50,1.0,damaged,3,30

chargers,scrap,50,0.5,working,1,45
chargers,scrap,50,0.5,working,3,40
chargers,scrap,50,0.5,damaged,3,30

remote,scrap,10,0.3,working,1,9
remote,scrap,10,0.3,working,3,7
remote,scrap,10,0.3,damaged,3,4

keyboard,scrap,5,0.7,working,1,4
keyboard,scrap,5,0.7,working,3,3
keyboard,scrap,5,0.7,damaged,3,2

toy,scrap,15,0.5,working,1,13
toy,scrap,15,0.5,working,3,10
toy,scrap,15,0.5,damaged,3,6
